OA11CD,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00016153,155,0,1,0,1,4,5,2,3,5,3,1,0,1,5,1,2,0,2,1,1,0,1,3,1,1,1,1,2,2,2,1,1,5,4,3,2,3,0,5,4,0,3,1,0,1,1,2,4,1,1,3,3,1,1,4,5,3,1,5,2,2,3,5,3,6,1,2,1,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
E00016141,147,1,2,3,3,4,0,0,0,7,3,2,3,1,3,4,1,1,2,0,2,3,1,2,2,1,3,3,3,3,1,3,2,2,2,2,1,3,3,0,4,1,3,3,1,1,1,3,2,1,3,0,2,0,1,0,1,3,0,2,2,2,2,1,1,1,2,1,2,0,1,1,4,0,0,0,0,0,2,0,1,3,3,1,0,0,1,1,0,0,0,1
E00016146,181,3,1,6,3,4,5,4,0,2,1,3,2,2,3,2,2,5,2,0,2,2,2,1,1,2,3,1,5,4,6,2,2,1,1,3,2,3,5,5,3,3,7,4,7,4,1,3,4,3,2,1,1,1,3,3,2,0,2,0,0,0,4,0,0,0,0,1,0,1,1,1,2,4,0,0,0,2,0,0,0,3,1,1,0,0,1,0,0,0,1,1
E00016148,161,2,4,2,2,1,0,4,2,0,2,2,2,2,5,2,1,1,2,2,1,1,0,3,2,1,2,2,5,2,5,2,3,2,2,3,1,3,1,0,3,4,1,4,7,1,3,3,2,1,1,0,5,3,1,2,2,2,2,1,0,2,0,1,2,2,0,4,1,0,3,5,0,2,2,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,4
E00016149,135,1,2,2,4,2,1,3,0,3,2,3,1,1,1,3,0,1,2,2,0,0,2,0,5,1,2,3,3,1,2,3,4,1,5,4,6,1,3,3,2,0,4,4,2,0,2,3,1,2,2,0,2,1,3,1,1,1,1,1,1,0,2,3,0,3,1,2,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
E00016151,157,3,2,1,0,2,3,3,2,7,2,2,2,1,1,1,1,4,1,1,1,2,2,1,1,0,1,1,5,2,3,0,3,3,3,0,3,5,1,3,3,4,3,5,4,1,1,4,2,3,4,1,2,2,1,1,1,4,4,1,1,2,0,2,1,1,2,0,2,0,2,0,3,0,1,0,0,0,0,0,0,2,0,3,2,3,0,0,0,0,0,0
E00016152,122,0,2,2,2,6,3,2,1,2,1,0,2,2,0,1,1,0,3,2,0,0,3,1,4,0,2,0,3,1,5,0,3,5,3,1,4,0,0,5,2,2,4,1,1,1,2,1,2,0,3,3,1,1,1,2,2,1,2,0,4,2,2,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
E00016126,169,1,0,0,4,2,1,2,2,2,0,1,1,5,0,3,3,3,0,2,1,0,2,0,1,2,2,0,3,2,1,2,3,1,2,3,2,1,2,1,1,3,2,5,2,2,2,4,2,5,2,1,1,4,2,4,3,1,6,2,2,2,4,0,3,3,2,1,1,0,3,1,4,3,2,4,3,0,1,0,1,0,4,1,1,0,1,1,1,1,0,2
E00016127,215,3,4,3,2,3,8,2,4,0,4,1,0,2,4,5,1,1,5,0,3,1,3,2,4,1,2,3,5,1,1,4,1,2,2,4,4,3,3,2,4,2,3,2,1,6,4,2,3,4,6,3,2,6,1,9,2,2,3,2,1,4,4,0,1,2,3,2,1,2,1,2,1,1,4,4,1,1,3,1,2,0,2,0,0,0,1,1,0,0,0,0
E00016131,180,1,5,5,2,1,0,4,1,3,3,3,5,2,0,4,1,0,3,2,3,2,1,2,2,2,4,3,1,9,3,2,2,1,4,6,3,4,2,6,3,3,2,1,3,3,3,1,2,5,0,3,5,0,0,1,2,4,2,4,0,3,0,2,0,0,0,1,0,0,0,1,0,2,2,0,1,0,1,2,3,4,1,0,0,0,0,0,0,0,0,3
E00016134,148,1,0,3,2,2,1,2,4,0,4,3,4,0,1,1,2,0,3,0,1,2,0,1,2,3,3,1,1,0,4,1,2,4,2,3,0,0,2,3,3,1,2,4,1,2,1,3,3,1,2,3,2,0,0,2,3,1,0,4,0,5,2,1,0,3,1,0,2,1,1,3,3,3,3,3,2,1,2,2,0,0,1,1,1,0,0,0,0,0,0,1
E00016140,155,1,4,2,3,4,1,2,3,2,2,2,1,1,2,0,1,2,1,2,1,2,0,0,3,1,3,2,3,2,1,3,4,6,6,4,2,3,4,1,3,5,1,2,2,2,3,3,2,4,2,4,2,1,1,2,0,2,0,0,0,3,0,2,1,0,0,0,0,3,1,5,2,6,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
E00016118,195,1,3,1,2,2,1,4,2,3,2,1,0,1,1,3,1,3,2,1,3,2,1,4,3,1,2,3,1,1,4,4,3,0,3,2,3,3,2,5,2,2,4,1,3,3,2,1,8,2,3,2,2,2,2,4,3,3,3,6,3,1,2,5,1,0,4,0,1,6,1,2,3,1,4,3,0,1,1,1,0,1,1,0,1,3,3,0,0,0,1,3
E00016154,171,5,1,2,2,2,1,0,1,2,3,3,2,2,3,1,2,1,1,0,0,0,0,2,0,1,1,3,3,3,3,4,6,2,1,1,0,5,3,1,1,3,7,1,3,0,7,4,0,4,3,2,4,1,1,2,1,1,0,1,2,1,2,1,2,2,0,4,4,1,3,1,0,4,2,0,0,2,0,1,2,0,1,2,0,0,5,2,0,2,0,6
E00016155,233,1,5,4,5,4,4,4,5,2,1,3,2,3,2,4,2,1,5,1,1,1,3,0,3,3,4,4,4,4,3,5,9,3,4,4,3,5,9,3,3,4,5,5,4,4,4,2,8,3,4,3,3,1,3,3,5,3,5,6,1,0,1,2,0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,2,2,0
E00016156,195,1,1,2,0,1,3,1,1,2,3,1,0,4,8,1,3,1,3,2,2,0,2,1,2,4,1,1,3,1,3,4,2,2,1,2,3,2,4,1,5,5,2,2,2,4,8,3,1,3,0,2,1,3,5,3,4,8,5,3,2,2,2,1,1,5,1,4,2,1,1,4,1,2,3,0,1,0,2,1,1,0,0,2,2,0,0,3,2,0,0,1
E00016157,181,2,1,5,3,3,4,1,3,0,0,0,5,3,1,4,2,3,3,1,1,1,3,2,1,1,1,5,2,3,5,2,3,1,2,3,2,1,5,2,1,5,5,5,3,3,2,4,6,0,5,1,6,3,3,1,1,3,2,3,3,4,2,0,2,4,2,1,2,0,1,0,0,1,1,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0
E00016112,168,3,1,1,4,1,4,2,1,1,1,0,1,2,1,3,3,0,4,0,1,1,2,1,3,1,2,3,2,3,1,3,3,0,5,1,5,2,2,3,0,5,4,2,6,4,2,4,2,4,0,2,3,3,2,2,1,1,4,1,2,1,2,1,1,1,1,0,1,2,1,4,1,3,2,1,2,0,2,1,0,2,0,1,1,0,1,1,1,0,0,3
E00016119,169,2,0,5,2,2,3,3,2,3,3,2,3,2,1,1,2,2,0,2,2,1,0,0,1,1,4,1,2,0,0,1,1,5,1,5,5,2,5,1,2,4,4,3,3,2,2,1,1,2,5,4,3,3,3,1,1,5,1,1,4,2,1,2,3,2,3,2,0,2,2,0,2,3,1,3,0,0,1,3,0,0,1,0,0,2,1,0,0,0,0,0
E00016121,141,1,1,2,1,3,4,4,2,4,4,1,2,1,1,2,1,2,0,3,2,1,0,1,2,3,1,1,0,0,1,2,2,1,3,0,2,4,1,0,2,2,1,4,4,3,2,4,3,4,4,3,5,1,2,1,0,4,2,1,3,1,4,1,0,2,0,3,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
